2,152,8
32,182,67
72,222,103
87,237,44
63,213,35
50,200,7
14,164,17
19,169,96
6,156,5
99,249,5
37,187,384
81,231,9
3,153,12
97,247,31
69,219,22
47,197,11
13,163,11
102,252,19
79,229,7
92,242,86
68,218,9
105,255,9
108,258,29
88,238,433
76,226,16
20,170,16
71,221,485
25,175,35
45,195,28
104,254,19
91,241,13
98,248,14
65,215,7
17,167,8
39,189,5
29,179,26
78,228,91
42,192,73
35,185,26
94,244,12
30,180,11
10,160,29
107,257,13
40,190,63
33,183,10
7,157,40
57,207,17
49,199,9
27,177,434
38,188,119
62,212,29
96,246,10
101,251,440
83,233,28
84,234,13
43,193,18
46,196,7
5,155,9
26,176,15
16,166,84
51,201,14
106,256,22
52,202,17
8,158,19
28,178,11
53,203,12
61,211,12
41,191,23
73,223,16
82,232,453
44,194,9
95,245,98
66,216,12
103,253,4
36,186,653
75,225,20
12,162,461
157,307,41
128,278,154
141,291,39
117,267,71
123,273,497
145,295,29
138,288,44
142,292,17
162,312,346
159,309,32
131,281,40
112,262,103
111,261,22
152,302,100
154,304,575
137,287,52
132,282,34
114,264,26
149,299,99
161,311,48
144,294,31
109,259,467
146,296,127
147,297,21
140,290,25
134,284,86
153,303,492
136,286,466
126,276,30
139,289,88
124,274,88
150,300,29
129,279,32
160,310,33
135,285,34
143,293,108
115,265,37
125,275,104
133,283,19
113,263,36
119,269,24
127,277,492
120,270,101
118,268,353
158,308,76
110,260,356
121,271,50
4,154,64
21,171,12
85,235,115
34,184,11
89,239,8
80,230,39
9,159,19
48,198,28
74,224,102
100,250,34
58,208,87
90,240,14
70,220,8
67,217,14
11,161,10
22,172,4
18,168,22
55,205,9
23,173,20
54,204,99
77,227,40
59,209,11
24,174,19
86,236,17
64,214,60
93,243,15
31,181,11
1,151,29
56,206,14
60,210,10
15,165,8
155,305,233
151,301,39
116,266,36
148,298,32
122,272,33
156,306,31
130,280,19
