1,1393,1,39
1,1081,1,39
1,70,1,39
1,553,2,99
1,790,2,99
1,607,2,99
1,244,3,7
1,544,3,7
1,1453,3,7
1,1633,4,36
1,2053,4,36
1,1750,4,36
1,1090,5,6
1,1144,5,6
1,1747,5,6
1,847,6,20
1,1993,6,20
1,1264,6,20
1,1327,7,81
1,130,7,81
1,664,7,81
1,1801,8,55
1,2101,8,55
1,1267,8,55
1,241,9,26
1,127,9,26
1,487,9,26
1,1630,10,98
1,1153,10,98
1,1147,10,98
1,1333,11,58
1,850,11,58
1,1984,11,58
1,1501,12,60
1,721,12,60
1,1981,12,60
1,1381,13,91
1,1621,13,91
1,784,13,91
1,1690,14,102
1,1027,14,102
1,427,14,102
1,1561,15,106
1,667,15,106
1,1213,15,106
1,1204,16,3
1,961,16,3
1,1864,16,3
1,1807,17,9
1,307,17,9
1,1030,17,9
1,421,18,45
1,1,18,45
1,373,18,45
1,904,19,22
1,1870,19,22
1,13,19,22
1,1210,20,62
1,1693,20,62
1,1021,20,62
1,73,21,10
1,727,21,10
1,2104,21,10
1,1447,22,95
1,310,22,95
1,1390,22,95
1,604,23,14
1,973,23,14
1,913,23,14
1,733,24,67
1,1273,24,67
1,781,24,67
1,541,25,37
1,250,25,37
1,1570,25,37
1,2044,26,17
1,433,26,17
1,61,26,17
1,964,27,59
1,2113,27,59
1,661,27,59
1,853,28,32
1,1510,28,32
1,364,28,32
1,1573,29,107
1,610,29,107
1,1924,29,107
1,910,30,49
1,1753,30,49
1,1324,30,49
1,1810,31,89
1,2041,31,89
1,1927,31,89
1,481,32,103
1,124,32,103
1,187,32,103
1,184,33,56
1,10,33,56
1,1507,33,56
1,361,34,34
1,1681,34,34
1,1930,34,34
1,484,35,50
1,1087,35,50
1,181,35,50
1,304,36,2
1,1444,36,2
1,1867,36,2
2,668,37,53
2,911,37,53
2,1202,37,53
2,1088,38,90
2,1151,38,90
2,1745,38,90
2,1514,39,35
2,182,39,35
2,788,39,35
2,1685,40,85
2,602,40,85
2,122,40,85
2,962,41,69
2,1691,41,69
2,914,41,69
2,125,42,42
2,371,42,42
2,1754,42,42
2,314,43,71
2,428,43,71
2,488,43,71
2,782,44,108
2,1511,44,108
2,1982,44,108
2,1382,45,41
2,965,45,41
2,1565,45,41
2,1634,46,77
2,1145,46,77
2,1562,46,77
2,1205,47,64
2,248,47,64
2,848,47,64
2,1268,48,54
2,1082,48,54
2,1682,48,54
2,1934,49,72
2,11,49,72
2,362,49,72
2,1625,50,19
2,302,50,19
2,485,50,19
2,1862,51,29
2,434,51,29
2,794,51,29
2,674,52,92
