1,1,40012,1
2,2,38112,1
3,3,29717,1
4,1,67510,2
5,2,53172,2
6,3,35152,2
7,1,17132,3
8,2,29955,3
9,3,13459,3
10,1,27146,4
11,2,24907,4
12,3,41978,4
13,1,69916,5
14,2,65196,5
15,3,78284,5
16,1,78978,6
17,2,57648,6
18,3,49585,6
19,1,114287,7
20,2,107088,7
21,3,70823,7
22,1,33044,8
23,2,54281,8
24,3,32237,8
25,1,46822,9
26,2,26739,9
27,3,50695,9
28,1,91258,10
29,2,70058,10
30,3,54899,10
31,1,20042,11
32,2,19624,11
33,3,17611,11
34,1,9369,12
35,2,20965,12
36,3,9639,12
37,1,17071,13
38,2,26924,13
39,3,17834,13
40,1,79695,14
41,2,36537,14
42,3,44108,14
43,1,73719,15
44,2,119351,15
45,3,80954,15
46,1,30152,16
47,2,25619,16
48,3,46282,16
49,1,15106,17
50,2,17820,17
51,3,19540,17
52,1,37906,18
53,2,39649,18
54,3,37779,18
55,1,93433,19
56,2,59315,19
57,3,36670,19
58,1,46126,20
59,2,26820,20
60,3,48095,20
61,1,9904,21
62,2,5470,21
63,3,6869,21
64,1,5392,22
65,2,13669,22
66,3,5577,22
67,1,497611,23
68,2,802181,23
69,3,896145,23
70,1,1904157,24
71,2,3610249,24
72,3,3698069,24
73,1,206764,25
74,2,108329,25
75,3,186115,25
76,1,27442,26
77,2,40944,26
78,3,26257,26
79,1,38467,27
80,2,29398,27
81,3,63655,27
82,1,142284,28
83,2,102171,28
84,3,107942,28
85,1,9833,29
86,2,16263,29
87,3,11657,29
88,1,23961,30
89,2,15403,30
90,3,28733,30
91,1,24896,31
92,2,13115,31
93,3,19451,31
94,1,20723,32
95,2,12581,32
96,3,16027,32
97,1,372,33
98,2,612,33
99,3,745,33
100,1,114788,34
101,2,125184,34
102,3,133634,34
103,1,295090,35
104,2,238502,35
105,3,358697,35
106,1,569159,36
107,2,331604,36
108,3,365388,36
